Serial no,R,G,B,40-70比例%,70-120比例%,325比例%,砂粉產地,樹酯品牌,樹酯比例%,色粉1,色粉1比例%(樹酯),色粉2,色粉2比例%(樹酯),色粉3,色粉3比例%(樹酯),偶聯劑%(樹酯),促進劑%(樹酯),固化劑%(樹酯),color
104432  河源 0%,184,181,174,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,185,179,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,183,182,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,186,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,183,175,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,184,184,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,185,185,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,184,184,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,184,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,185,182,175,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,186,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,184,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,188,185,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,181,182,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,188,185,180,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,184,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,187,184,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,188,185,180,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,181,181,173,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,183,175,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,184,181,174,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,185,182,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,185,182,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,185,184,179,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,183,175,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,183,182,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,182,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,182,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,184,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,180,179,174,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,183,179,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,181,181,173,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,184,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,184,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,184,184,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,183,182,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,181,174,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,188,185,180,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,186,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,185,185,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,186,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,183,175,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,184,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,185,185,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,183,182,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,185,184,179,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,180,175,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,183,175,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,183,182,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,181,172,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,182,174,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,181,182,174,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,179,178,173,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,180,173,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,181,176,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,185,182,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,186,182,173,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,182,182,174,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,186,183,178,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,182,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,186,182,173,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,186,185,181,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,183,183,175,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Green
104432  河源 0%,183,182,177,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432  河源 0%,184,181,174,10,44,32,河源,亞邦樹酯,15.8,無,0,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,214,212,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,210,206,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,209,209,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,211,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,210,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,211,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,213,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,211,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,211,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,213,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,211,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,214,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,213,214,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,White
104432 河源1%白,213,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,214,212,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,213,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,214,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,215,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,210,206,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,214,212,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,210,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,214,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,211,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,208,208,206,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,215,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,216,215,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,213,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,215,213,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,216,215,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,209,209,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,216,215,213,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,215,213,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,210,210,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,213,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,210,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,214,212,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,211,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,211,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,210,209,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,214,212,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,209,208,206,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,210,209,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,210,210,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,214,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Green
104432 河源1%白,212,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,215,213,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,209,209,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,211,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,210,209,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,211,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,211,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,215,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,214,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,217,217,215,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,210,206,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,213,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,209,209,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,215,213,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,213,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,212,211,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,209,209,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,210,209,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,207,207,205,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,213,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,216,211,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,208,208,206,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,210,210,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,214,212,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,214,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,214,215,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,209,209,207,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,211,211,209,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,213,212,208,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
104432 河源1%白,215,214,210,10,44,32,河源,亞邦樹酯,15.8,鈦白粉,1,無,0,無,0,1.2,0.16,0.53,Yellow
